job_posting_id,title,description,location
6622462b-e4a7-4295-9823-63666cb8314a,Marketing Technology Manager,"Greenlight is the leading family fintech company on a mission to help parents raise financially smart kids. We proudly serve more than 6 million parents and kids with our award-winning banking app for families. With Greenlight, parents can automate allowance, manage chores, set flexible spend controls, and invest for their family’s future. Kids and teens learn to earn, save, spend wisely, and invest. 

At Greenlight, we believe every child should have the opportunity to become financially healthy and happy. It’s no small task, and that’s why we leap out of bed every morning to come to work. Because creating a better, brighter future for the next generation depends on it.


Greenlight is looking for a strategic and technically skilled Marketing Technology Manager to join our growing marketing team. This cross-functional role sits at the intersection of marketing, data, and technology—helping us build, optimize, and maintain a modern marketing stack that drives measurable results. You'll collaborate closely with internal teams including marketing operations, analytics, engineering, and external vendors to ensure tools and technologies are properly integrated and support business growth.

This role reports to the VP, Growth Marketing.
",Atlanta (Remote Friendly)
654c7a46-7fa2-417e-a8da-e2c489e98e79,Product Marketing Manager -- Application Protection (Enterprise Cybersecurity),"HUMAN was founded in a Brooklyn sci-fi bookstore with a hacker mindset and the lofty mission of making the internet safer by putting humans first. Today, our Human Defense Platform safeguards enterprises from sophisticated bots, fraud, and account abuse—verifying the humanity of more than 20 trillion interactions per week for the world’s biggest brands and internet platforms.

Being HUMAN isn’t just our name — it’s how we show up for customers, partners, and most of all, our team. That means competitive pay, generous benefits, and meaningful perks — all in a culture that celebrates what matters to you, whether that's marathon training, your pets, or your favorite robot (we have many).

HUMAN is growing fast, and there’s never been a more meaningful time to join us. If you thrive on solving complex problems and want to help shape the future of cybersecurity, join us as we build a safer, more human internet.


We’re looking for a capable and driven Product Marketing Manager with 2–4 years of experience to drive go-to-market execution and help shape the positioning of our application protection products. As digital commerce increasingly faces threats from humans, bots, and agentic AI, this role offers a unique opportunity to shape how the world’s most valuable applications stay secure, trusted, and fraud-free.

The ideal candidate will serve as a strategic bridge between product, marketing, sales, and our target market, translating complex technical features into clear, compelling narratives that resonate with both technical decision-makers and business stakeholders. This role combines strategic thinking with hands-on execution, requiring someone who can both develop high-level market positioning and create detailed campaign assets.  
","New York, NY"
958f6b8d-1bca-41e3-b704-4559c32611d9,Open Source and Technical Marketing Director,"At Sysdig, we believe cloud security isn't a compromise - it's a promise. From the start, our mission has been clear: to help organizations secure innovation in the cloud, the right way.

We created Falco, the open standard for cloud threat detection, and continue to lead the cloud security market with runtime insights, open innovation, and agentic Al. Creators of technology trusted by over 60% of the Fortune 500, Sysdig gives teams the real-time clarity to move fast and defend what matters most.

Culture matters here. We believe diversity fuels stronger ideas, and open dialogue drives sharper decisions. Recognized as a Best Place to Work and one of Deloitte's fastest-growing companies for the past 5 years, we're here to raise the standard for what cloud security and workplace culture should be.

If you have the passion to dig deeper, the desire to challenge convention, and the curiosity to build something better, Sysdig is the right place for you.
",San Francisco
fd94db34-6aa7-4091-a001-26c8a70572a7,"Product Marketing Manager, Demand Generation","About Us

Suger is a revenue platform that helps our customers grow on the fastest-growing B2B sales channel: the cloud marketplaces of AWS, Azure, GCP, and Alibaba. Launched in 2022, we take the tech debt out of marketplace sales by providing an API-first approach that connects our customers’ existing systems (CRM, metering, ERP, etc.) with the cloud marketplaces. In just 1.5 years, we’ve contracted with close to 150 customers, ranging from early-stage startups to public companies.

We’re looking for a Product Marketing Manager to define and own how Suger shows up in the market. This role sits at the intersection of product, sales, and growth — translating Suger's capabilities into clear messaging, positioning, and programs that drive pipeline. You’ll shape the story that defines Suger’s category leadership in Cloud GTM, create compelling content that resonates across buyer personas, and equip our sales team with the insights and tools to win.

This is a high-impact opportunity to join a fast-growing company backed by top-tier investors — Craft Ventures, Intel Capital, and Y-Combinator — and play a central role in building the GTM foundation for one of the most transformative shifts in enterprise software sales.
","San Francisco, CA"
74a774db-f84d-4dfc-b41c-a68f745f2fbb,VP of  Marketing | San Francisco,"Our mission

Kenko is an AI-powered CRM for fitness & wellness business. Fitness businesses that we serve include yoga studios, pilates centers, gyms, crossfit, and more. Meanwhile the wellness business we serve include spas, saunas, massage and modern wellness like — cryotherapy, red-light therapy, chiropractors, and physical therapy. Our mission is to power 100,000 fitness & wellness businesses in the US. Helping them thrive in their local markets.

We deliver an integrated solution that brings together four core product categories:
Marketing which automates customer communications and campaigns
Operations which handles scheduling, billing, and reporting
Member Experience which offers websites, mobile apps, and self-service check-in systems
AI Assistants which provide automated customer support and sales inquiry management


",San Francisco
1b18a3c5-2571-418b-9dda-5d3c49ac7d45,Spanish Technology Marketing Interpreter,"As a trusted global transformation partner, Welocalize accelerates the global business journey by enabling brands and companies to reach, engage, and grow international audiences. Welocalize delivers multilingual content transformation services in translation, localization, and adaptation for over 250 languages with a growing network of over 400,000 in-country linguistic resources. Driving innovation in language services, Welocalize delivers high-quality training data transformation solutions for NLP-enabled machine learning by blending technology and human intelligence to collect, annotate, and evaluate all content types. Our team works across locations in North America, Europe, and Asia serving our global clients in the markets that matter to them. www.welocalize.com

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Main Purpose of the Role
 
We are looking for interpreter for English into Spanish (US/LatAm) to join our existing pool for one of our global tech clients. The interpreter will provide Onsite, Remote VRI, Remote RSI interpreting services in technology/IT and marketing content specialty for onsite inspections. 

Location: Onsite for cities: Boston / Remote
Task type: Remote VRI, Remote RSI, onsite interpreting
Content: Technology/IT, Marketing
expected date: early in the week of 19th May

Required Skills

·        Minimum 5 years’ experience in the specific mode of service 
·        Minimum 5 years’ experience in the requested industry Technology/IT – Marketing

Must have one of the following criteria:
-        Degree in Interpretation or Translation with a focus on Interpretation OR
-        Being a Member of an Interpretation Associations 
","Boston, MA"
edcace02-ff39-49ef-ac18-1f1002b7cce9,Performance Marketing Specialist/Manager (Paid Social),"Thuma is seeking a dynamic and results-driven Performance Marketing Manager/Specialist (Paid Social) to join our Performance Marketing team. This individual will lead strategy, execution, optimization, and analysis of key paid social channels, with a strong focus on driving new customer acquisition and revenue growth within efficiency guardrails. Reporting into the Associate Director of Performance Marketing, you will own both long-term strategy and day-to-day execution across platforms like Facebook/Instagram, Reddit, etc. while supporting emerging social channels like Pinterest and TikTok. 

This role requires deep channel expertise, a strong testing mindset, and the ability to collaborate cross-functionally with brand, creative, analytics, and e-commerce teams to uncover new growth opportunities. As part of the Performance Marketing team, you’ll also help integrate learnings across channels (search, offline) to maximize impact, while building strong relationships with vendors and channel partners.

Thuma’s Headquarters is based in the historic Presidio neighborhood of San Francisco. The role involves three days in the office each week and occasional additional days as needed.

In recognition of the personal and professional benefits that team members gain from time spent together in person, we organize a range of events throughout each year designed to bring our entire team together!
","San Francisco, California"
a90076e1-dd0f-485c-9348-9e3d790781a3,Event Field Marketing Representative,"Position: Event Field Marketing Representative
Location: Hybrid (Dallas)
Reports To: Manager, Events

About Us
HighLevel is an AI powered, all-in-one white-label sales & marketing platform that empowers agencies, entrepreneurs, and businesses to elevate their digital presence and drive growth. We are proud to support a global and growing community of over 2 million businesses, comprised of agencies, consultants, and businesses of all sizes and industries. HighLevel empowers users  with all the tools needed to capture, nurture, and close new leads into repeat customers. As of mid 2025, HighLevel processes over 4 billion API hits and handles more than 2.5 billion message events every day. Our platform manages over 470 terabytes of data distributed across five databases, operates with a network of over 250 microservices, and supports over 1 million hostnames.

Our People
With over 1,500 team members across 15+ countries, we operate in a global, remote-first environment. We are building more than software; we are building a global community rooted in creativity, collaboration, and impact. We take pride in cultivating a culture where innovation thrives, ideas are celebrated, and people come first, no matter where they call home.

Our Impact
As of mid 2025, our platform powers over 1.5 billion messages, helps generate over 200 million leads, and facilitates over 20 million conversations for the more than 2 million businesses we serve each month. Behind those numbers are real people growing their companies, connecting with customers, and making their mark - and we get to help make that happen.

About the Role:
You’re an outgoing, high-energy professional with a passion for connecting with people and representing a powerful brand. You thrive on the road, are flexible with travel-heavy schedules, and love the fast-paced nature of event environments. You’re equal parts brand ambassador, logistics wizard, and team player—ready to roll up your sleeves to set up booths, answer questions, and represent HighLevel to the world.
",Dallas
503c13c1-444d-4afd-a75d-0a20c1c19633,Customer Loyalty Marketing Manager,"WHO WE ARE

SQUIRE is the leading business management system designed for the needs of barbers, shop owners, and their communities. We believe the pursuit of artistry and autonomy should not be restricted by the complexities of running a business. With SQUIRE, we provide custom-branded tools, resources, and guidance to help barbers of all stages and experience levels attract and retain more customers, efficiently manage their shop operations, and increase their revenue.

Founded in 2015, SQUIRE is trusted by barbers in 4,000+ shops in more than a thousand cities around the globe. From streamlined booking and opening new shops to real-time earning dashboards and building lasting customer relationships, SQUIRE supports shop owners in seamlessly bridging the gap between their personal craft and business goals. SQUIRE enables barbers everywhere to unlock their full potential both as artists and as entrepreneurs.

For more information, please visit getsquire.com or download the SQUIRE app from the App or Play Store.
 


SUMMARY
As SQUIRE’s Customer Loyalty Marketing Manager, this role will own the strategy and execution of programs designed to foster long-term customer love—through Ambassador, Referral, and Gifting initiatives. 

As part of the Lifecycle Marketing team, this position plays a critical role in deepening brand affinity, increasing customer engagement, and driving retention. This role will collaborate closely with Marketing, Customer Success, Product, CX, and Data teams to create memorable and measurable experiences that turn loyal customers into vocal advocates.

REPORTS TO
Director of Lifecycle Marketing
",United States
51d6378a-18e0-4e8c-b398-47f201028776,Marketing Intern,"No phone calls or emails from recruiters or employment agencies. Do not contact us with unsolicited services or offers. All candidates must apply directly.
 
Who We Are
Here at Marshall Reddick Real Estate we are a fast-paced, software-centered, and rapidly changing full-service residential real estate investment firm. We provide multiple services to our clients including real estate brokerage, property management, private lending, and investment funds. We have a team of 150+ members across 9 offices in CA, TX, FL, and TN. Founded in 1979, we are committed to our mission to be the bridge connecting each client to financial independence through education, mentorship, and by providing a trusted system of buying, selling, and managing real estate and mortgages nationwide.


The Opportunity 
We are seeking a highly organized self-starter to join our Marketing Team! As a Marketing Intern, you’ll gain hands-on experience supporting our marketing team across a variety of day-to-day initiatives. From helping coordinate events to assisting with marketing initiatives, you’ll play a key role in ensuring our marketing operations run smoothly. This is a great opportunity to learn the ins and outs of real estate marketing while working alongside an experienced and supportive team. 

In this role you’ll collaborate with a passionate, supportive team and get exposure to both digital and in-person marketing initiatives. If you’re a go-getter who is interested in real estate investing, this internship is for you!  

What We Offer
Location | Newport Beach, CA 
Hourly Rate| $17.50
","Newport Beach, CA"
