job_posting_id,title,description,location
49a3dde1-2b81-420b-aa95-edd2e80920f8,Project Engineer I,"Are you seeking purpose, challenge, and talented colleagues? With a diverse portfolio of residential, energy, commercial, light industrial and public programs, CESO has the opportunity for you to develop your career. We develop leaders and empower our associates to use their skills and talents to positively impact the world through service – to our coworkers, clients, and communities. We subscribe to the mission of “empowering our people to impact communities by bringing clients’ visions to life,” so if this speaks to you, let’s connect!

At CESO, a Project Engineer I continues to gain practical and professional work experience in the engineering field and will function in a wide variety of tasks under the direction of a Professional Engineer. A Project Engineer I will work collaboratively with team members while utilizing engineering software and tools to create, modify, and analyze designs, to review and improve concepts; they will actively contribute to the preparation of technical reports, in troubleshooting technical issues, and stay up to date with the latest engineering trends and technologies.
","Orlando, FL"
354ac97a-67a4-471c-8882-aa19994cf4c9,Junior Manufacturing Quality Assurance Technician,"Job Title: Junior Manufacturing Quality Assurance Technician
Location: Canonsburg PA 
Job Type: Full-Time

About the Role:
We are seeking a detail-oriented Junior Manufacturing Quality Assurance Technician to join our team. In this role, you will assist in monitoring and maintaining quality standards in the manufacturing process, ensuring compliance with industry regulations and company specifications. This is an excellent opportunity for someone with a strong attention to detail and a passion for quality control in a manufacturing environment.

Key Responsibilities:
Perform inspections and tests on raw materials, in-process components, and finished products to ensure compliance with quality standards.
Document and report any defects, non-conformances, or deviations from specifications.
Assist in implementing and maintaining quality control procedures, including ISO and GMP standards (if applicable).
Support root cause analysis and corrective/preventive actions to address quality issues.
Work closely with production teams to ensure adherence to quality protocols.
Maintain accurate and organized quality records and reports.
Assist in conducting internal audits and inspections.
Operate and calibrate testing equipment as needed.
Participate in continuous improvement initiatives to enhance quality and efficiency.

Qualifications & Skills:
Associate degree or certification in Quality Assurance, Manufacturing, Engineering, or a related field (preferred but not required).
0-2 years of experience in a quality assurance or manufacturing role (entry-level candidates encouraged to apply).
Basic understanding of quality control processes and inspection techniques.
Familiarity with measurement tools such as calipers, micrometers, and gauges (preferred).
Strong problem-solving skills and attention to detail.
Ability to read and interpret technical documents, drawings, and specifications.
Proficiency in Microsoft Office (Excel, Word, Outlook).
Excellent communication and teamwork skills.
Ability to work in a fast-paced manufacturing environment.

Preferred Qualifications:
Knowledge of ISO 9001, GMP, or other quality management systems.
Experience with statistical process control (SPC) or other quality metrics.
","Canonsburg, PA"
25d6b213-6e0a-4c9c-a873-2738f30d0b28,Architect I,"Filevine is forging the future of legal work with cloud-based workflow tools. We have a reputation for intuitive, streamlined technology that helps professionals manage their organization and serve their clients better. We’re also known for our team of extraordinary and passionate professionals who love working together to help organizations thrive. Our success has catapulted Filevine to the forefront of our field—we are ranked as one of the most innovative and fastest-growing technology companies in the country by both Deloitte and Inc.

Our Mission
Filevine is building the seamless intersection between legal and business by creating a world- class platform to help professionals scale.


Role Summary:
This architect will also take ownership of operability concerns, guiding teams to build systems with observability, proactive monitoring, and actionable alerting at their core. They will help define service-level objectives (SLOs), error budgets, and reliability standards across services, ensuring Filevine’s platform meets the demands of enterprise-scale customers. By partnering with engineering, security, and product teams, the SRE/Infra Architect will foster a culture of reliability and provide mentorship on performance optimization and incident prevention. In this way, the architect not only sets the direction for how we build, but also ensures our systems are designed to run smoothly in production at scale.
",United States
20a1595e-9bad-4319-96d5-0db8c3753e7c,Electrical Project Engineer I,"Are you seeking purpose, challenge, and talented colleagues? With a diverse portfolio of commercial, retail, hospitality, multi-family, and light industrial programs, CESO has the opportunity for you to develop your career. We develop leaders and empower our associates to use their skills and talents to positively impact the world through service – to our coworkers, clients, and communities. We subscribe to the mission of “finding purpose through serving others,” so if this speaks to you, let’s connect!

At CESO, the Electrical Project Engineer I demonstrates the ability to perform a wide variety of technical assignments independently with little or no oversight for small, intermediate, or large projects and completes all necessary tasks on assigned projects so projects finish on time, within budget and consistent with industry production and care standards.  The Project Engineer I will continuously seek opportunities to learn and develop within the discipline with senior staff support.  
","Overland Park, KS"
64123916-5c13-46ca-a396-5da8cf0ed91f,Junior Software Engineer,"Delta Solutions & Strategies is seeking a motivated Junior Software Engineer to join our dynamic team. This position will be located at our Corporate Office in Colorado Springs, CO, and supports critical defense initiatives through the development of C# desktop applications in a virtualized environment.
","Colorado Springs, CO"
b874c4e0-5d02-4977-87d2-32df1959fb47,Software Engineer I,"At Agile Defense we know that action defines the outcome and new challenges require new solutions. That’s why we always look to the future and embrace change with an unmovable spirit and the courage to build for what comes next.

Our vision is to bring adaptive innovation to support our nation's most important missions through the seamless integration of advanced technologies, elite minds, and unparalleled agility—leveraging a foundation of speed, flexibility, and ingenuity to strengthen and protect our nation’s vital interests.


Job Req: 1144
Title: Software Engineer I
Clearance: Active DoD Secret clearance required or suitability for an interim Secret clearance based on a favorable background investigation.
Location:  100% Remote ( Must be local to Scott AFB, St Louis)
Salary range:  $70K - $115k           
 
General:
Global Decision Support System (GDSS) Application, Implementation, Modernization, and Support (AIMS):  GDSS is a mission-critical command and control platform that enables global air mobility operations. It provides real-time visibility into aircraft status, mission schedules, cargo loads, and crew readiness across worldwide locations. GDSS supports rapid decision-making by integrating logistics, operations, and intelligence data for enhanced situational awareness.

We are looking for a Java/.Net Developer to work on a project that will sustain a command-and- control system for the Mobility Air Force. Your work will support the effectiveness of several communities of active-duty and civilian users. With the imminent migration to Amazon GovCloud, the program must continue to deliver stable, secure feature upgrades through new deployment methods. You will be working on a development team to not only provide updates to software as needed, but also support the team by providing direction to development efforts and growing less experienced team members. As a Developer, you will use your expertise to help deploy and maintain the projects codebase. You will also follow the Agile development methodology to create, test, troubleshoot, and maintain code.

For test automation, you will use several tools, including ones like SmartBear’s Test Complete, Selenium, or the Cypress Test Automation framework to create tests that evaluate whether simulated user interactions succeed or fail to meet expectations. All tests you create should be able to run automatically by CI/CD pipelines in various environments. Test types should fit the environment, and guidelines provided on the proper tests to run (regression tests, integration tests, smoke tests, UAT, etc.). You will be responsible for evolving test automation to leverage the benefits of and tools available in the cloud environment.

Software Engineer Description: Participates in the design, development, analysis, and implementation of software operating systems and software application programs; performs software operating systems and application engineering, including full life cycle design and development; works from specifications to develop and modify operating systems and software applications; participates in the design, coding, testing, debugging, and documentation of programs.

A Level I category requires to have at least 3 years of minimum experience and is required to have at least a minimum education of high school or Associates Degree as well as technical experience and appropriate certifications. A Level I labor category is responsible for assisting higher levels (II & III).

What you will do:
·             Work under the direction of the Development lead to design, code, test, document, and install.
·             Help analyze system requirements and prioritize tasking
·             Review and refactor code
·             Participate and sometimes lead design and planning discussions.
·             Write Java/C# code that is clean, efficient, scalable, and dependable
·             Implement, maintain, and improve upon formal coding processes and documentation.
·             Ensure proper use of code analysis tools and assess automated security scans of code.
·             Utilize automation to make processes more efficient and secure
·             Support jr. developers’ work
·             Support, improve, and optimize various CI/CD pipeline tools and processes
What we like to see:
·             Proficiency with AWS Cloud computing environments
·             In-depth knowledge of Java and the ability to also code in .NET languages
·             Ability to troubleshoot code at a senior level
·             Able to work with minimal day-to-day direction
·             Thrives when collaborating with a small team
·             Knows when to ask for help when blocked, and knows when to help others when they are blocked

What you should be familiar with:
·             Linux, Python, or Bash Scripting
·             Java and or C# Programming
·             HTML, CSS, Javascript, JQuery, JSON, XML
·             Cloud (AWS)
·             Containerization and virtualization technologies like Docker
·             Agile methodology
·             Experience with SQL Scripts and Relational Database operations
",Remote
b683b5f2-94ea-4e76-9a1f-daaab225b8b6,Operations Mechanic (Maintenance Technician – Levels I–III),"Operations Mechanic (Maintenance Technician – Levels I–III)
Location: Henrico, VA
Job Type: Direct Hire
Pay Rate: $27–$35/hour

About the Company:

A global manufacturer of cosmetics, pharmaceuticals, and personal care products—including well-known items like hair dye, hair spray, Tylenol, and chapstick. We’re seeking skilled Operations Mechanics (Levels I–III) to support and maintain our high-volume packaging and manufacturing lines in Henrico, VA.

Schedule:

Train on 1st Shift (7 AM – 3 PM) for the first 60 days
Transition to 2nd Shift (3 PM – 11 PM) or 3rd Shift (11 PM – 7 AM)
Must be flexible for off-shift or overtime work as needed
","Henrico, VA"
d31bc110-3142-491b-b2c3-b819f258635d,Maintenance Technician I,"Be yourself at Protolabs 
Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification.  We are an equal opportunity employer, and we are committed to building a diverse team that feels they are valued in the workplace.  So do you feel you do not meet every single requirement but still intrigued? We encourage you to still apply!  You can help make our company even better.  We do not discriminate based on race, color, national origin, sexual orientation, gender, age, mental or physical ability, or any way you represent yourself.  We strongly believe diversity makes for more successful teams. 
 
Why Protolabs? 
We are the leaders in digital manufacturing.  We hire doers, makers, and creative thinkers who tackle our roles with an entrepreneurial spirit.  Our culture is centered around meaningful work that brings new and innovative products to market at unprecedented speeds.  We are a diverse team that comes from all walks of life and take pride in our team who is smart, genuine, humble, and passionate about what we do.  It’s our people who fuel our creativity and make our culture feel like home. 


Join our team as a Maintenance Technician!

The Maintenance Technician-I maintains, tests, and repairs production support equipment. Works with higher ranking technicians on required electrical, mechanical, hydraulic, and pneumatic related repairs. They will apply knowledge of electrical and mechanical principles as needed in determining equipment malfunctions and apply skills in restoring equipment to operation. Provide skilled mechanical and electrical support to all areas of CNC and Sheet Metal Manufacturing.

We are looking for an Entry level maintenance technician to join our team to learn and grow their skills set.

Shift: Weekend Night shift
","Brooklyn Park, MN"
f90929d0-77b1-4e0d-aac5-1116d920930e,New Grads 2026 - Data Scientist,"Established in 2017, WeRide (NASDAQ: WRD) is a leading global commercial-stage company that develops autonomous driving technologies from Level 2 to Level 4. WeRide is the only tech company in the world that holds driverless permits in China, the UAE, Singapore and the US, conducting autonomous driving R&D, tests and operations in over 30 cities of 10 countries around the world. WeRide has operated a self-driving fleet for more than 2,200 days.


WeRide.ai Silicon Valley team is seeking a motivated Data Scientist to join our Metrics Team. This role focuses on supporting the development and validation of L3+ Advanced Driver Assistance Systems (ADAS) and L4 Autonomous Driving (AD) Systems through foundational data analysis. As a Data Scientist, you will contribute to ensuring the safety and reliability of our autonomous technologies by assisting with data processing, data analysis, and statistical evaluation.

","San Jose, CA"
65813bc1-693e-4052-88f3-2c504cb4a357,Junior Customer Solutions Engineer,"At Sysdig, we believe cloud security isn't a compromise - it's a promise. From the start, our mission has been clear: to help organizations secure innovation in the cloud, the right way.

We created Falco, the open standard for cloud threat detection, and continue to lead the cloud security market with runtime insights, open innovation, and agentic Al. Creators of technology trusted by over 60% of the Fortune 500, Sysdig gives teams the real-time clarity to move fast and defend what matters most.

Culture matters here. We believe diversity fuels stronger ideas, and open dialogue drives sharper decisions. Recognized as a Best Place to Work and one of Deloitte's fastest-growing companies for the past 5 years, we're here to raise the standard for what cloud security and workplace culture should be.

If you have the passion to dig deeper, the desire to challenge convention, and the curiosity to build something better, Sysdig is the right place for you.
",Nashville
